success,timeout,failed_images,failed_audio,failed_video,typeoftrial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,sona_id,rt,response,Experiment,stimulus,list_number,trialcondition,correct,question_order
,,,,,picture,3825,image-keyboard-response,161,187257,0.0-5.0-3.31,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,530,n,,cat.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,162,188273,0.0-5.0-0.32,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Light_Matched,,
,,,,,sentence,3825,html-keyboard-response,163,188966,0.0-5.0-1.32,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,681, ,,A balloon dropped and touched a TV,3,Light_Matched,,
,,,,,fixation,3825,html-keyboard-response,164,189481,0.0-5.0-2.32,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Light_Matched,,
,,,,,picture,3825,image-keyboard-response,165,190014,0.0-5.0-3.32,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,520,s,,tvS.jpg,3,Light_Matched,TRUE,
,,,,,fixation,3825,html-keyboard-response,166,191033,0.0-5.0-0.33,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Light_Contradictory,,
,,,,,sentence,3825,html-keyboard-response,167,191712,0.0-5.0-1.33,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,667, ,,A balloon dropped and smashed glasses,3,Light_Contradictory,,
,,,,,fixation,3825,html-keyboard-response,168,192225,0.0-5.0-2.33,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Light_Contradictory,,
,,,,,picture,3825,image-keyboard-response,169,192759,0.0-5.0-3.33,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,522,n,,glassesS.jpg,3,Light_Contradictory,FALSE,
,,,,,fixation,3825,html-keyboard-response,170,193777,0.0-5.0-0.34,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Heavy_Matched,,
,,,,,sentence,3825,html-keyboard-response,171,194257,0.0-5.0-1.34,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,467, ,,A bowling ball dropped and smashed a donut,3,Heavy_Matched,,
,,,,,fixation,3825,html-keyboard-response,172,194778,0.0-5.0-2.34,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Heavy_Matched,,
,,,,,picture,3825,image-keyboard-response,173,195181,0.0-5.0-3.34,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,387,s,,donutS.jpg,3,Heavy_Matched,TRUE,
